WAV K N 
0.10633 0.579794734935 1.35163692402 
0.10798 0.560558858468 1.37757072418 
0.10965 0.538429260995 1.39240636838 
0.11134 0.523423146834 1.40003468182 
0.11307 0.516794562373 1.4074612194 
0.11481 0.514831735221 1.41579903291 
0.11659 0.513007520618 1.43077778968 
0.1184 0.509865376711 1.44852176822 
0.12023 0.502550836972 1.46961073707 
0.12209 0.489435518488 1.49006774621 
0.12398 0.470745303588 1.50694866373 
0.12589 0.446908897903 1.51385486869 
0.12784 0.430356532934 1.50710516816 
0.12982 0.435465082013 1.50321407391 
0.13183 0.437796854798 1.51616142974 
0.13386 0.426541998353 1.53144979186 
0.13594 0.408631406124 1.52930524553 
0.13804 0.404665948103 1.50756184538 
0.14017 0.445966932687 1.48839720613 
0.14234 0.51578121755 1.51575602146 
0.14454 0.569214389791 1.59980483536 
0.14678 0.563514750588 1.7190528694 
0.14905 0.482904005552 1.81918922629 
0.15136 0.371268386389 1.86327199589 
0.1537 0.267759141785 1.86391200457 
0.15608 0.195385585695 1.84079023866 
0.15849 0.152039122396 1.80994357105 
0.16094 0.125116030503 1.77444947769 
0.16343 0.100549616608 1.7482041702 
0.16596 0.0808647810129 1.72533125178 
0.16853 0.0644112012994 1.70462901916 
0.17113 0.0508441165219 1.68592099803 
0.17378 0.0392744382742 1.66971748018 
0.17647 0.0287452938632 1.65394859864 
0.1792 0.0192972448148 1.6389742225 
0.18197 0.0104557725958 1.62464412306 
0.18478 0.00233301379799 1.61064090595 
0.18764 1e-10 1.59718246622 
0.19055 1e-10 1.58387715283 
0.19349 1e-10 1.57169284312 
0.19649 1e-10 1.55947862605 
0.19953 1e-10 1.54804056857 
0.20261 1e-10 1.53781956023 
0.20575 1e-10 1.52825785587 
0.20893 1e-10 1.52002586835 
0.21216 1e-10 1.51248575234 
0.21544 1e-10 1.50519751882 
0.21878 1e-10 1.49793056903 
0.22216 1e-10 1.49084514068 
0.2256 1e-10 1.48411358046 
0.22909 1e-10 1.47758572405 
0.23263 1e-10 1.47174921152 
0.23623 1e-10 1.46651621502 
0.23988 1e-10 1.46167269257 
0.24359 1e-10 1.45768941989 
0.24736 1e-10 1.45396919657 
0.25119 1e-10 1.45053945289 
0.25507 1e-10 1.44737901324 
0.25902 1e-10 1.44439512063 
0.26303 1e-10 1.44159600643 
0.2671 1e-10 1.4389953105 
0.27123 1e-10 1.43648597536 
0.27542 1e-10 1.43414057756 
0.27968 1e-10 1.43193741885 
0.28401 1e-10 1.42988302696 
0.2884 1e-10 1.42804966215 
0.29286 1e-10 1.42625997784 
0.29739 1e-10 1.42452193489 
0.302 1e-10 1.42289940495 
0.30667 1e-10 1.42137739992 
0.31141 1e-10 1.41995904416 
0.31623 1e-10 1.4186424006 
0.32112 1e-10 1.41746923199 
0.32609 1e-10 1.41635831224 
0.33113 1e-10 1.41533919567 
0.33625 1e-10 1.41437070047 
0.34146 1e-10 1.41345187197 
0.34674 1e-10 1.41258882391 
0.3521 1e-10 1.41179135548 
0.35755 1e-10 1.41105826213 
0.36308 1e-10 1.41042640522 
0.36869 1e-10 1.40983033202 
0.3744 1e-10 1.40929654475 
0.38019 1e-10 1.40884081495 
0.38607 1e-10 1.40842404664 
0.39204 1e-10 1.40810233019 
0.39811 1e-10 1.40780039219 
0.40427 1e-10 1.40761646568 
0.41052 1e-10 1.40737358355 
0.41687 1e-10 1.4062265546 
0.42332 1e-10 1.40502193598 
0.42987 1e-10 1.40391198593 
0.43652 1e-10 1.40270357128 
0.44327 1e-10 1.40148760872 
0.45013 1e-10 1.40038255509 
0.45709 1e-10 1.39926195802 
0.46416 1e-10 1.39812808314 
0.47134 1e-10 1.39702293229 
0.47863 1e-10 1.39587802823 
0.48603 1e-10 1.39478745679 
0.49355 1e-10 1.39371916337 
0.50119 1e-10 1.39261165304 
0.50894 1e-10 1.39153203141 
0.51681 1e-10 1.39041346685 
0.52481 1e-10 1.38931750971 
0.53293 1e-10 1.38820483754 
0.54117 1e-10 1.38707459974 
0.54954 1e-10 1.38592245785 
0.55804 1e-10 1.38477477571 
0.56667 1e-10 1.38362805673 
0.57544 1e-10 1.38247788137 
0.58434 1e-10 1.38126875889 
0.59338 1e-10 1.38010018097 
0.60256 1e-10 1.37890943755 
0.61188 1e-10 1.37769576496 
0.62135 1e-10 1.37645960173 
0.63096 1e-10 1.37520196525 
0.64072 1e-10 1.37391925866 
0.65063 1e-10 1.37265373072 
0.66069 1e-10 1.37134379619 
0.67091 1e-10 1.37007008162 
0.68129 1e-10 1.36881328661 
0.69183 1e-10 1.36750885064 
0.70253 1e-10 1.36615854791 
0.7134 1e-10 1.36478147227 
0.72444 1e-10 1.3633784374 
0.73564 1e-10 1.36195060774 
0.74702 1e-10 1.3604928312 
0.75858 1e-10 1.35900850897 
0.77031 1e-10 1.35755930994 
0.78223 1e-10 1.35602102604 
0.79433 1e-10 1.35445711036 
0.80662 1e-10 1.35292637663 
0.81909 1e-10 1.35192924402 
0.83176 1e-10 1.35111665237 
0.84463 1e-10 1.3503305578 
0.8577 1e-10 1.34950905811 
0.87096 1e-10 1.34871624055 
0.88444 1e-10 1.34784932566 
0.89812 1e-10 1.34702656779 
0.91201 1e-10 1.34619172947 
0.92612 1e-10 1.34534097306 
0.94045 1e-10 1.34447633282 
0.95499 1e-10 1.34359724953 
0.96977 1e-10 1.34272240229 
0.98477 1e-10 1.3418516183 
1.0 1e-10 1.34092952215 
1.0155 1e-10 1.33998670628 
1.0312 1e-10 1.33903451624 
1.0471 1e-10 1.33806686281 
1.0633 1e-10 1.33708418594 
1.0798 1e-10 1.3360836046 
1.0965 1e-10 1.33509467312 
1.1134 1e-10 1.33408874537 
1.1307 1e-10 1.33306239553 
1.1481 1e-10 1.33196703227 
1.1659 1e-10 1.33090905274 
1.1839 1e-10 1.32980253419 
1.2023 1e-10 1.32868603637 
1.2209 1e-10 1.32786248273 
1.2398 1e-10 1.32716966636 
1.2589 1e-10 1.32649105331 
1.2784 1e-10 1.32582221514 
1.2982 1e-10 1.32514659758 
1.3183 1e-10 1.32446343226 
1.3386 1e-10 1.32372131287 
1.3594 1e-10 1.32298609102 
1.3804 1e-10 1.32227271826 
1.4017 1e-10 1.32157401038 
1.4234 1e-10 1.32082629674 
1.4454 1e-10 1.32008076416 
1.4678 1e-10 1.31932248659 
1.4905 1e-10 1.31852742946 
1.5136 1e-10 1.31774203384 
1.537 1e-10 1.31777269106 
1.5608 1e-10 1.31786261145 
1.5849 1e-10 1.31795814872 
1.6094 1e-10 1.3181335646 
1.6343 1e-10 1.31830000701 
1.6596 1e-10 1.31851209773 
1.6853 1e-10 1.31870120125 
1.7113 1e-10 1.31880213236 
1.7378 1e-10 1.31880883071 
1.7647 1e-10 1.31884424353 
1.792 1e-10 1.31888294501 
1.8197 1e-10 1.31898073256 
1.8478 1e-10 1.3190882513 
1.8764 1e-10 1.31926126213 
1.9055 1e-10 1.31938635837 
1.9349 1e-10 1.319322144 
1.9649 1e-10 1.31926506511 
1.9953 1e-10 1.31925962378 
2.0261 1e-10 1.3194367691 
2.0575 1e-10 1.31980552753 
2.0893 1e-10 1.32029788901 
2.1216 1e-10 1.3209020137 
2.1544 1e-10 1.32158905216 
2.1878 1e-10 1.32235932673 
2.2216 1e-10 1.32323011779 
2.256 1e-10 1.3242137697 
2.2909 1e-10 1.32477276396 
2.3263 1e-10 1.32547437552 
2.3623 1e-10 1.32634986637 
2.3988 1e-10 1.32725681161 
2.4359 1e-10 1.32814001873 
2.4736 1e-10 1.32929806911 
2.5119 1e-10 1.33076089387 
2.5507 1e-10 1.33280363401 
2.5902 1e-10 1.3354647267 
2.6303 1e-10 1.33907289009 
2.671 1e-10 1.34380266975 
2.7123 1e-10 1.35038402199 
2.7542 1e-10 1.35989460759 
2.7968 1e-10 1.37329442307 
2.8401 1e-10 1.39247965783 
2.884 1e-10 1.41591271809 
2.9286 1e-10 1.37408938365 
2.9739 1e-10 1.27128716902 
3.0199 1e-10 1.11096748855 
3.0667 1e-10 0.980373217787 
3.1141 1e-10 1.06650194848 
3.1623 1e-10 1.13379143807 
3.2112 1e-10 1.19137725223 
3.2609 1e-10 1.22092726187 
3.3113 1e-10 1.23934738321 
3.3625 1e-10 1.25201453781 
3.4146 1e-10 1.25858882659 
3.4674 1e-10 1.26247976261 
3.521 1e-10 1.26465860553 
3.5755 1e-10 1.2666514187 
3.6308 1e-10 1.27005775078 
3.6869 1e-10 1.2723711265 
3.744 1e-10 1.27469627623 
3.8019 1e-10 1.27695730825 
3.8607 1e-10 1.27932536819 
3.9204 1e-10 1.2813863269 
3.9811 1e-10 1.28343038785 
4.0427 1e-10 1.28477514179 
4.1052 1e-10 1.28617252754 
4.1687 1e-10 1.28735674 
4.2332 1e-10 1.28857542537 
4.2987 1e-10 1.28913908245 
4.3652 1e-10 1.28943915182 
4.4327 1e-10 1.28880706019 
4.5012 1e-10 1.28750945845 
4.5709 1e-10 1.28693571747 
4.6416 1e-10 1.2887868465 
4.7134 1e-10 1.29084782162 
4.7863 1e-10 1.2924818943 
4.8603 1e-10 1.29406144197 
4.9355 1e-10 1.29561339952 
5.0119 1e-10 1.29705848375 
5.0894 1e-10 1.29766148629 
5.1681 1e-10 1.2981132629 
5.2481 1e-10 1.29856194099 
5.3293 1e-10 1.29854213791 
5.4117 1e-10 1.29810387953 
5.4954 1e-10 1.29742192714 
5.5804 1e-10 1.29645002274 
5.6667 1e-10 1.29645961651 
5.7544 1e-10 1.29668737407 
5.8434 1e-10 1.29455889831 
5.9338 1e-10 1.29025113402 
6.0256 1e-10 1.29028078421 
6.1188 1e-10 1.28996464269 
6.2135 1e-10 1.2912826763 
6.3096 1e-10 1.29368947588 
6.4072 1e-10 1.29717610149 
6.5063 1e-10 1.30059497047 
6.6069 1e-10 1.30398669902 
6.7091 1e-10 1.30683755933 
6.8129 1e-10 1.30938675596 
6.9183 1e-10 1.31154903754 
7.0253 1e-10 1.31312645279 
7.134 1e-10 1.31485761367 
7.2444 1e-10 1.31542474971 
7.3564 1e-10 1.31469432475 
7.4702 1e-10 1.31284850748 
7.5858 1e-10 1.30982575103 
7.7031 1e-10 1.30609675079 
7.8223 1e-10 1.30183735934 
7.9433 1e-10 1.29796982945 
8.0662 1e-10 1.29612894476 
8.1909 1e-10 1.29635862257 
8.3176 1e-10 1.299545175 
8.4463 1e-10 1.3060697242 
8.577 1e-10 1.31234308681 
8.7096 1e-10 1.31693839423 
8.8444 1e-10 1.32071099749 
8.9812 1e-10 1.32180385097 
9.1201 1e-10 1.32782417547 
9.2612 1e-10 1.34321578177 
9.4045 1e-10 1.3670233144 
9.5499 1e-10 1.39710163667 
9.6976 1e-10 1.43525385093 
9.8477 1e-10 1.47569603955 
10.0 1e-10 1.51685342374 
10.155 1e-10 1.56267889041 
10.312 1e-10 1.61816615137 
10.471 1e-10 1.69268492334 
10.633 1e-10 1.78550999177 
10.798 1e-10 1.87599150101 
10.965 1e-10 1.95098399426 
11.134 1e-10 1.99448994537 
11.307 1e-10 2.01140642462 
11.481 1e-10 2.00337314102 
11.659 1e-10 1.98036090641 
11.84 1e-10 1.94544997662 
12.023 1e-10 1.90173175364 
12.209 1e-10 1.85214977956 
12.398 1e-10 1.80555567708 
12.589 1e-10 1.77136887458 
12.784 1e-10 1.74462979194 
12.982 1e-10 1.72526078394 
13.183 1e-10 1.71090227473 
13.387 1e-10 1.70308292427 
13.594 1e-10 1.69490971603 
13.804 1e-10 1.6832731054 
14.017 1e-10 1.66871869765 
14.234 1e-10 1.65379666851 
14.454 1e-10 1.64337097214 
14.678 1e-10 1.6362721568 
14.905 1e-10 1.63330848285 
15.136 1e-10 1.63232482215 
15.37 1e-10 1.63149562566 
15.608 1e-10 1.6317144523 
15.849 1e-10 1.63509083392 
16.094 1e-10 1.6390376461 
16.343 1e-10 1.64361676694 
16.596 1e-10 1.64597399823 
16.853 1e-10 1.64555923023 
17.113 1e-10 1.64634409708 
17.378 1e-10 1.651017824 
17.647 1e-10 1.66027754414 
17.92 1e-10 1.6716724477 
18.197 1e-10 1.68521035911 
18.479 1e-10 1.7044559959 
18.764 1e-10 1.72660902644 
19.055 1e-10 1.75120925826 
19.349 1e-10 1.7754474119 
19.649 1e-10 1.80028750461 
19.953 1e-10 1.8265815339 
20.261 1e-10 1.85377535709 
20.575 1e-10 1.88054289623 
20.893 1e-10 1.90868204299 
21.216 1e-10 1.93886235504 
21.544 1e-10 1.96755461565 
21.878 1e-10 1.99569673143 
22.216 1e-10 2.02658069275 
22.56 1e-10 2.05942619721 
22.909 1e-10 2.08973961064 
23.263 1e-10 2.11846094486 
23.623 1e-10 2.1443645087 
23.988 1e-10 2.17017900201 
24.359 1e-10 2.19498390821 
24.736 1e-10 2.22427378613 
25.119 1e-10 2.25533477394 
25.507 1e-10 2.2849868131 
25.902 1e-10 2.31441671947 
26.303 1e-10 2.34288510836 
26.71 1e-10 2.37032985266 
27.123 1e-10 2.39744011731 
27.542 1e-10 2.42571822885 
27.968 1e-10 2.45321075203 
28.401 1e-10 2.48085270227 
28.84 1e-10 2.50949543286 
29.286 1e-10 2.53894848679 
29.74 1e-10 2.56909159977 
30.199 1e-10 2.59833228652 
30.667 1e-10 2.62826612327 
31.141 1e-10 2.65604799667 
31.623 1e-10 2.6833769696 
32.112 1e-10 2.70919652079 
32.609 1e-10 2.73481302446 
33.113 1e-10 2.75986756776 
33.625 1e-10 2.78337537938 
34.146 1e-10 2.80538543959 
34.674 1e-10 2.82575903401 
35.21 1e-10 2.84332442324 
35.755 1e-10 2.86062248559 
36.308 1e-10 2.87564233405 
36.869 1e-10 2.89152281311 
37.44 1e-10 2.90726569034 
38.019 1e-10 2.92275359293 
38.607 1e-10 2.93953518677 
39.204 1e-10 2.95502936337 
39.811 1e-10 2.97118946367 
40.427 1e-10 2.98769060357 
41.052 1e-10 3.00394462724 
41.687 1e-10 3.02191538934 
42.332 1e-10 3.03894830567 
42.987 1e-10 3.05664664729 
43.652 1e-10 3.07682269069 
44.327 1e-10 3.09868581651 
45.013 1e-10 3.12279244777 
45.709 1e-10 3.15060346022 
46.416 1e-10 3.16799649002 
47.134 1e-10 3.13869576562 
47.863 1e-10 3.0493666006 
48.603 1e-10 2.95223962861 
49.355 1e-10 2.89774173226 
50.119 1e-10 2.86438669147 
50.894 1e-10 2.85829776653 
51.681 1e-10 2.85649472855 
52.481 1e-10 2.85677738029 
53.293 1e-10 2.85779504967 
54.117 1e-10 2.85597321216 
54.954 1e-10 2.84912863762 
55.804 1e-10 2.8439064024 
56.667 1e-10 2.84618305353 
57.544 1e-10 2.85527343271 
58.434 1e-10 2.86989421404 
59.338 1e-10 2.88767642538 
60.256 1e-10 2.90193543505 
61.188 1e-10 2.90961987346 
62.135 1e-10 2.91407178766 
63.096 1e-10 2.91612603571 
64.072 1e-10 2.91604327534 
65.063 1e-10 2.91273358931 
66.069 1e-10 2.90798918812 
67.091 1e-10 2.90216838736 
68.129 1e-10 2.89544694873 
69.183 1e-10 2.88860829124 
70.253 1e-10 2.88144749663 
71.34 1e-10 2.87444632736 
72.444 1e-10 2.8677381428 
73.564 1e-10 2.861935976 
74.702 1e-10 2.85645681693 
75.858 1e-10 2.85166082106 
77.031 1e-10 2.84814465883 
78.223 1e-10 2.84420725199 
79.433 1e-10 2.84022703303 
80.662 1e-10 2.83649260776 
81.909 1e-10 2.83305577557 
83.176 1e-10 2.83000691325 
84.463 1e-10 2.82682380251 
85.77 1e-10 2.82378054559 
87.096 1e-10 2.82059426315 
88.444 1e-10 2.81771861608 
89.812 1e-10 2.81453375683 
91.201 1e-10 2.81108477588 
92.612 1e-10 2.80788763246 
94.045 1e-10 2.80466542711 
95.499 1e-10 2.80115540618 
96.977 1e-10 2.798003181 
98.477 1e-10 2.79483001301 
100.0 1e-10 2.79149226786 
101.55 1e-10 2.78834897237 
103.12 1e-10 2.78501541162 
104.71 1e-10 2.78200071928 
106.33 1e-10 2.77872434623 
107.98 1e-10 2.77547660115 
109.65 1e-10 2.77186257122 
111.34 1e-10 2.76845147972 
113.07 1e-10 2.76487792767 
114.82 1e-10 2.76132218323 
116.59 1e-10 2.75768951356 
118.39 1e-10 2.75423136416 
120.23 1e-10 2.75045851883 
122.09 1e-10 2.74719597866 
123.97 1e-10 2.74388000079 
125.89 1e-10 2.74057403874 
127.84 1e-10 2.73716928722 
129.82 1e-10 2.73372370201 
131.83 1e-10 2.7304422498 
133.87 1e-10 2.72715949936 
135.94 1e-10 2.72373665951 
138.04 1e-10 2.72010997141 
140.17 1e-10 2.71667502946 
142.34 1e-10 2.71322582461 
144.54 1e-10 2.70974540421 
146.78 1e-10 2.70652418632 
149.05 1e-10 2.70322056857 
151.36 1e-10 2.70000829346 
153.7 1e-10 2.69669904793 
156.07 1e-10 2.69344066725 
158.49 1e-10 2.69013529134 
160.94 1e-10 2.68700646193 
163.43 1e-10 2.68406686332 
165.96 1e-10 2.68108551877 
168.53 1e-10 2.67817145521 
171.13 1e-10 2.67531675275 
173.78 1e-10 2.67269932942 
176.47 1e-10 2.67001843234 
179.2 1e-10 2.66740978135 
181.97 1e-10 2.66486779925 
184.79 1e-10 2.66221240276 
187.64 1e-10 2.65966867886 
190.55 1e-10 2.65707571049 
193.49 1e-10 2.65457478005 
196.49 1e-10 2.65196726326 
199.53 1e-10 2.64947595919 
202.61 1e-10 2.6469867538 
205.75 1e-10 2.64450639126 
208.93 1e-10 2.6420547839 
212.16 1e-10 2.63972933176 
215.44 1e-10 2.63740087862 
218.78 1e-10 2.63498482715 
222.16 1e-10 2.63258703849 
225.6 1e-10 2.63021551942 
229.09 1e-10 2.62782135721 
232.63 1e-10 2.62547799736 
236.23 1e-10 2.62308869449 
239.88 1e-10 2.62086752659 
243.59 1e-10 2.61886387538 
247.36 1e-10 2.61688380436 
251.19 1e-10 2.61492698778 
255.07 1e-10 2.61294773401 
259.02 1e-10 2.61100052778 
263.03 1e-10 2.60904782876 
267.1 1e-10 2.60710713827 
271.23 1e-10 2.60550589264 
275.42 1e-10 2.60400058716 
279.68 1e-10 2.60251469497 
284.01 1e-10 2.60103650878 
288.4 1e-10 2.59960536448 
292.86 1e-10 2.59815204117 
297.39 1e-10 2.59671464731 
301.99 1e-10 2.59518618918 
306.67 1e-10 2.59343504947 
311.41 1e-10 2.59172661391 
316.23 1e-10 2.5899687093 
321.12 1e-10 2.58827370002 
326.09 1e-10 2.58660749698 
331.13 1e-10 2.58491494756 
336.25 1e-10 2.58327024167 
341.45 1e-10 2.58160833976 
346.74 1e-10 2.57995530958 
352.1 1e-10 2.57836499204 
357.55 1e-10 2.57674238978 
363.08 1e-10 2.57513149063 
368.7 1e-10 2.57350267933 
374.4 1e-10 2.57190064586 
380.19 1e-10 2.57036379292 
386.07 1e-10 2.5687865022 
392.04 1e-10 2.56721043735 
398.11 1e-10 2.56566778261 
404.27 1e-10 2.56424906485 
410.52 1e-10 2.56286027259 
416.87 1e-10 2.56154578484 
423.32 1e-10 2.56016532691 
